% Model:              230406 -Langevin, stepped-horn and plate.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 6 2023, 23:21
% Dimension:          1
% Nodes:              1601
% Expressions:        1
% Description:        Point graph
% freq (Hz)               abs(solid2.u_tZ)
25118.864315095823        0.0022420700283635533
25155.03929041764         0.0022829863411908038
25191.26636319197         0.0023257210714865257
25227.545608446995        0.002370409902500894
25263.877101318954        0.002417202391673015
25300.260917052445        0.0024662637940376735
25336.69713100022         0.0025177771809514367
25373.18581862376         0.0025719459114917423
25409.727055493066        0.002628996526970754
25446.320917286976        0.0026891821555626635
25482.967479793464        0.0027527865351017035
25519.666818909507        0.002820128789084098
25556.41901064137         0.0028915691257054787
25593.224131104944        0.002967515674982425
25630.082256525584        0.0030484327382360324
25666.99346323841         0.003134850802455272
25703.957827688646        0.0032273787763258503
25740.975426431392        0.003326719045008972
25778.046336132207        0.003433686131471761
25815.17063356691         0.003549230014253353
25852.348395621888        0.003674465515993346
25889.579699294398        0.0038107096902461773
25926.86462169245         0.003959529866749281
25964.203240035087        0.00412280607686243
26001.595631652723        0.0043028131439984555
26039.04187398697         0.004502330066417698
26076.54204459099         0.004724787898934749
26114.09622112977         0.004974472926344963
26151.70448138            0.0052568108483296815
26189.36690323037         0.005578772340824365
26227.083564681914        0.005949465103678661
26264.854543847778        0.006381020729013622
26302.679918953814        0.006889963148798667
26340.559768338382        0.007499394056295964
26378.494170452646        0.008242627089582287
26416.483203860924        0.009169530142355265
26454.526947240516        0.010358263243082089
26492.62547938202         0.011938649329673456
26530.77887918968         0.014143279873486132
26568.987225681198        0.017434177874166717
26607.250597988084        0.022877674154509135
26645.569075355972        0.03360712840533531
26683.942737144396        0.06440699279064162
26722.3716628274          0.37591636079854923
26760.855931993334        0.06806343600750361
26799.39562434514         0.03327449648473786
26837.99081970073         0.021777449524791662
26876.641597992795        0.016062980301020845
26915.348039269138        0.012646136207226193
26954.110223693016        0.010372841984374676
26992.92823154296         0.008750867066484974
27031.802143213114        0.007534970616613304
27070.732039213577        0.006589277787163597
27109.718000170218        0.005832437989990793
27148.760106825026        0.005212771960251354
27187.85844003643         0.004695875754962536
27227.0130807791          0.0042579595367157365
27266.224110144525        0.003882047667014945
27305.49160934083         0.0035557020837378383
27344.81565969307         0.003269601200479617
27384.196342643612        0.0030166213781535533
27423.63373975193         0.002791225162571805
27463.127932694955        0.0025890430674469817
27502.67900326742         0.0024065810454667724
27542.28703338169         0.002241011681938941
27581.95210506808         0.0020900224293563794
27621.674300475224        0.0019517034957556188
27661.45370186984         0.001824463803887375
27701.29039163733         0.0017069671499961546
27741.184452281588        0.0015980831162380439
27781.135966425332        0.0014968489065228202
27821.145016810424        0.0014024393713302009
27861.211686297724        0.0013141432423275578
27901.336057867422        0.001231344126036728
27941.518214619387        0.0011535051806341344
27981.75823977299         0.0010801566692596645
28022.056216667454        0.0010108857789747911
28062.412228762187        9.453282384060652E-4
28102.826359636627        8.831613739632806E-4
28143.298692990575        8.240983246341004E-4
28183.82931264455         7.678831959704332E-4
28224.418302539547        7.142869801274313E-4
28265.065746737688        6.631041043829245E-4
28305.771729421973        6.141494981390616E-4
28346.536334896653        5.67256089930659E-4
28387.35964758755         5.222726629036988E-4
28428.241752041904        4.7906201065705406E-4
28469.182732928715        4.374993460923842E-4
28510.182675039097        3.97470924648678E-4
28551.2416632861          3.5887285055691677E-4
28592.359782705054        3.2161004107843997E-4
28633.537118453936        2.855953297764462E-4
28674.77375581313         2.507486968803089E-4
28716.06978018607         2.1699662532306086E-4
