freq	 01Vpk	 02Vpk	 05Vpk	 10Vpk	 20Vpk	 50Vpk
Hz	 m/s	 m/s	 m/s	 m/s	 m/s	 m/s
1.109087e+04	 1.602816e-05	 2.982594e-05	 7.306972e-05	 1.478120e-04	 2.925231e-04	 7.309002e-04
1.110336e+04	 1.606009e-05	 3.214547e-05	 7.235068e-05	 1.482082e-04	 2.992425e-04	 7.158316e-04
1.111587e+04	 1.551201e-05	 3.206026e-05	 7.581285e-05	 1.520928e-04	 3.053960e-04	 7.544390e-04
1.112838e+04	 1.520204e-05	 3.193997e-05	 7.603321e-05	 1.529831e-04	 3.069747e-04	 7.717606e-04
1.114091e+04	 1.626182e-05	 3.232292e-05	 7.791197e-05	 1.510281e-04	 3.068586e-04	 7.629263e-04
1.115346e+04	 1.642646e-05	 3.205764e-05	 7.908813e-05	 1.548316e-04	 3.204772e-04	 7.326168e-04
1.116602e+04	 1.640860e-05	 3.090133e-05	 7.901239e-05	 1.588523e-04	 3.296216e-04	 7.528504e-04
1.117859e+04	 1.582931e-05	 1.945479e-05	 8.316864e-05	 1.625228e-04	 3.306826e-04	 7.701235e-04
1.119118e+04	 1.553893e-05	 3.305700e-05	 8.541491e-05	 1.714770e-04	 3.381195e-04	 7.737592e-04
1.120378e+04	 1.703938e-05	 3.234470e-05	 8.525345e-05	 1.720842e-04	 3.536181e-04	 7.856520e-04
1.121640e+04	 1.692684e-05	 3.444982e-05	 8.558069e-05	 1.723383e-04	 3.481336e-04	 7.892913e-04
1.122903e+04	 1.690295e-05	 3.269009e-05	 8.510240e-05	 1.758513e-04	 3.591699e-04	 8.077318e-04
1.124167e+04	 1.697892e-05	 3.520564e-05	 8.625912e-05	 1.817017e-04	 3.623984e-04	 8.231037e-04
1.125433e+04	 1.701897e-05	 3.650590e-05	 8.931390e-05	 1.815055e-04	 3.698274e-04	 8.370803e-04
1.126700e+04	 1.708346e-05	 3.679503e-05	 9.123849e-05	 1.834269e-04	 3.785809e-04	 4.020565e-04
1.127969e+04	 1.703145e-05	 3.743230e-05	 9.047815e-05	 1.875242e-04	 3.827030e-04	 8.802042e-04
1.129239e+04	 1.809953e-05	 3.753843e-05	 9.252694e-05	 1.853041e-04	 3.922190e-04	 1.418032e-04
1.130511e+04	 1.866306e-05	 3.720205e-05	 9.093170e-05	 1.848745e-04	 2.019846e-04	 8.699238e-04
1.131784e+04	 1.909418e-05	 3.993718e-05	 9.191666e-05	 1.882655e-04	 3.928961e-04	 8.765875e-04
1.133058e+04	 1.890676e-05	 3.885903e-05	 9.283686e-05	 1.889661e-04	 3.978795e-04	 8.897547e-04
1.134334e+04	 1.757129e-05	 3.886942e-05	 9.317674e-05	 1.921199e-04	 3.933071e-04	 9.066852e-04
1.135611e+04	 1.837840e-05	 4.118519e-05	 1.001154e-04	 1.881186e-04	 4.074022e-04	 9.245916e-04
1.136890e+04	 1.957825e-05	 3.918755e-05	 9.836483e-05	 1.947680e-04	 4.038415e-04	 9.441840e-04
1.138170e+04	 2.006482e-05	 3.996557e-05	 1.016908e-04	 2.019365e-04	 4.164323e-04	 9.565312e-04
1.139452e+04	 2.038520e-05	 4.282235e-05	 1.044632e-04	 2.050894e-04	 4.088934e-04	 9.752447e-04
1.140735e+04	 2.011896e-05	 4.202327e-05	 1.068278e-04	 2.118629e-04	 4.242491e-04	 9.937149e-04
1.142019e+04	 1.998852e-05	 4.269712e-05	 1.080604e-04	 2.120475e-04	 4.301580e-04	 1.007198e-03
1.143305e+04	 1.961710e-05	 4.233818e-05	 1.080116e-04	 2.136706e-04	 4.266520e-04	 1.010069e-03
1.144593e+04	 2.125602e-05	 4.278512e-05	 1.106475e-04	 2.160461e-04	 4.306009e-04	 1.036947e-03
1.145882e+04	 1.944799e-05	 4.416985e-05	 1.123625e-04	 2.212949e-04	 4.371236e-04	 1.036381e-03
