freq	 01Vpk	 02Vpk	 05Vpk	 10Vpk	 20Vpk	 50Vpk
Hz	 m/s	 m/s	 m/s	 m/s	 m/s	 m/s
1.125433e+04	 6.946788e-06	 1.290415e-05	 3.309355e-05	 6.557738e-05	 1.348108e-04	 4.088329e-04
1.126700e+04	 7.288797e-06	 1.634523e-05	 3.609430e-05	 7.207404e-05	 1.474857e-04	 4.414896e-04
1.127969e+04	 8.433563e-06	 1.569544e-05	 4.036896e-05	 7.801738e-05	 1.632509e-04	 4.498697e-04
1.129239e+04	 7.690166e-06	 1.713244e-05	 4.225522e-05	 8.523456e-05	 1.668842e-04	 4.752576e-04
1.130511e+04	 1.007863e-05	 1.891145e-05	 4.555772e-05	 8.828990e-05	 1.826264e-04	 4.976140e-04
1.131784e+04	 9.745245e-06	 2.000296e-05	 4.762252e-05	 9.217543e-05	 1.938611e-04	 5.198861e-04
1.133058e+04	 1.060968e-05	 2.054425e-05	 5.128708e-05	 9.829878e-05	 2.058829e-04	 5.627069e-04
1.134334e+04	 1.050396e-05	 2.019186e-05	 5.419892e-05	 1.014033e-04	 2.113701e-04	 5.617074e-04
1.135611e+04	 1.144560e-05	 2.101815e-05	 5.604292e-05	 1.063445e-04	 2.146237e-04	 5.793106e-04
1.136890e+04	 1.120223e-05	 2.243612e-05	 5.795406e-05	 1.098304e-04	 2.200592e-04	 5.739453e-04
1.138170e+04	 1.312496e-05	 2.660492e-05	 5.835001e-05	 1.168139e-04	 2.270068e-04	 6.371306e-04
1.139452e+04	 1.205413e-05	 2.656534e-05	 6.119503e-05	 1.178874e-04	 2.253981e-04	 6.208241e-04
1.140735e+04	 1.261061e-05	 2.570806e-05	 5.808007e-05	 1.225939e-04	 2.332551e-04	 6.358950e-04
1.142019e+04	 1.276373e-05	 2.561670e-05	 6.257510e-05	 1.270648e-04	 2.402894e-04	 6.664614e-04
1.143305e+04	 1.400920e-05	 2.489546e-05	 6.591549e-05	 1.310454e-04	 2.511508e-04	 7.004307e-04
1.144593e+04	 1.232712e-05	 2.777433e-05	 6.782879e-05	 1.332366e-04	 2.561444e-04	 6.978533e-04
1.145882e+04	 1.336789e-05	 2.520554e-05	 6.803546e-05	 1.405570e-04	 2.626576e-04	 6.863032e-04
1.147172e+04	 1.401208e-05	 2.998883e-05	 6.959208e-05	 1.407275e-04	 2.707001e-04	 7.363227e-04
1.148464e+04	 1.393510e-05	 3.078717e-05	 7.295218e-05	 1.394467e-04	 2.783022e-04	 7.588474e-04
1.149757e+04	 1.563668e-05	 2.862467e-05	 7.468280e-05	 1.425525e-04	 2.904571e-04	 7.436196e-04
1.151052e+04	 1.406986e-05	 2.770644e-05	 7.913732e-05	 1.457741e-04	 3.039828e-04	 7.543385e-04
1.152348e+04	 9.575842e-06	 3.137180e-05	 7.804786e-05	 1.493804e-04	 3.065707e-04	 7.461918e-04
1.153645e+04	 1.483822e-05	 3.137254e-05	 7.646348e-05	 1.494365e-04	 3.225210e-04	 7.978563e-04
