freq	Measured velocity
Hz	m/s
64720	5.840E-04
64740	5.900E-04
64760	5.940E-04
64780	6.000E-04
64800	6.040E-04
64820	6.120E-04
64840	6.200E-04
64860	6.260E-04
64880	6.360E-04
64900	6.400E-04
64920	6.420E-04
64940	6.500E-04
64960	6.600E-04
64980	6.640E-04
65000	6.720E-04
65020	6.800E-04
65040	6.880E-04
65060	6.920E-04
65080	7.000E-04
65100	7.080E-04
65120	7.140E-04
65140	7.200E-04
65160	7.280E-04
65180	7.360E-04
65200	7.400E-04
65220	7.460E-04
65240	7.520E-04
65260	7.600E-04
65280	7.680E-04
65300	7.740E-04
65320	7.780E-04
65340	7.860E-04
65360	7.940E-04
65380	8.000E-04
65400	8.080E-04
65420	8.120E-04
65440	8.280E-04
65460	8.320E-04
65480	8.380E-04
65500	8.500E-04
65520	8.560E-04
65540	8.660E-04
65560	8.740E-04
65580	8.780E-04
65600	8.880E-04
65620	8.940E-04
65640	9.020E-04
65660	9.060E-04
65680	9.120E-04
65700	9.220E-04
65720	9.300E-04
65740	9.400E-04
65760	9.460E-04
65780	9.560E-04
65800	9.620E-04
65820	9.760E-04
65840	9.820E-04
65860	9.920E-04
65880	1.002E-03
65900	1.010E-03
65920	1.020E-03
65940	1.026E-03
65960	1.040E-03
65980	1.052E-03
66000	1.062E-03
66020	1.072E-03
66040	1.086E-03
66060	1.088E-03
66080	1.102E-03
66100	1.112E-03
66120	1.122E-03
66140	1.142E-03
66160	1.152E-03
66180	1.164E-03
66200	1.180E-03
66220	1.196E-03
66240	1.204E-03
66260	1.228E-03
66280	1.238E-03
66300	1.244E-03
66320	1.262E-03
66340	1.262E-03
66360	1.268E-03
66380	1.274E-03
66400	1.264E-03
66420	1.252E-03
66440	1.248E-03
66460	1.236E-03
66480	1.234E-03
66500	1.234E-03
66520	1.232E-03
66540	1.240E-03
66560	1.246E-03
66580	1.256E-03
66600	1.264E-03
66620	1.266E-03
66640	1.274E-03
66660	1.288E-03
66680	1.296E-03
66700	1.318E-03
66720	1.324E-03
66740	1.342E-03
66760	1.354E-03
66780	1.368E-03
66800	1.382E-03
66820	1.394E-03
66840	1.412E-03
66860	1.428E-03
66880	1.446E-03
66900	1.464E-03
66920	1.480E-03
66940	1.510E-03
66960	1.530E-03
66980	1.552E-03
67000	1.580E-03
67020	1.610E-03
67040	1.646E-03
67060	1.688E-03
67080	1.718E-03
67100	1.758E-03
67120	1.798E-03
67140	1.826E-03
67160	1.838E-03
67180	1.842E-03
67200	1.800E-03
67220	1.746E-03
67240	1.714E-03
67260	1.684E-03
67280	1.688E-03
67300	1.698E-03
67320	1.716E-03
67340	1.752E-03
67360	1.782E-03
67380	1.804E-03
67400	1.826E-03
67420	1.832E-03
67440	1.850E-03
67460	1.856E-03
67480	1.864E-03
67500	1.878E-03
67520	1.894E-03
67540	1.908E-03
67560	1.934E-03
67580	1.946E-03
67600	1.970E-03
67620	1.988E-03
67640	2.020E-03
67660	2.040E-03
67680	2.060E-03
67700	2.080E-03
67720	2.120E-03
67740	2.160E-03
67760	2.180E-03
67780	2.220E-03
67800	2.240E-03
67820	2.280E-03
67840	2.320E-03
67860	2.360E-03
67880	2.400E-03
67900	2.440E-03
67920	2.500E-03
67940	2.540E-03
67960	2.620E-03
67980	2.660E-03
68000	2.720E-03
68020	2.760E-03
68040	2.760E-03
68060	2.760E-03
68080	2.760E-03
68100	2.760E-03
68120	2.760E-03
68140	2.780E-03
68160	2.780E-03
68180	2.780E-03
68200	2.760E-03
68220	2.760E-03
68240	2.720E-03
68260	2.700E-03
68280	2.680E-03
68300	2.640E-03
68320	2.600E-03
68340	2.540E-03
68360	2.500E-03
68380	2.440E-03
68400	2.400E-03
68420	2.360E-03
68440	2.300E-03
68460	2.280E-03
68480	2.260E-03
68500	2.220E-03
68520	2.200E-03
68540	2.160E-03
68560	2.160E-03
68580	2.140E-03
68600	2.120E-03
68620	2.100E-03
68640	2.100E-03
68660	2.100E-03
68680	2.080E-03
68700	2.100E-03
68720	2.080E-03
68740	2.080E-03
68760	2.100E-03
68780	2.100E-03
68800	2.120E-03
68820	2.140E-03
68840	2.140E-03
68860	2.140E-03
68880	2.160E-03
68900	2.180E-03
68920	2.220E-03
68940	2.240E-03
68960	2.260E-03
68980	2.280E-03
69000	2.300E-03
69020	2.320E-03
69040	2.360E-03
69060	2.380E-03
69080	2.400E-03
69100	2.420E-03
69120	2.440E-03
69140	2.480E-03
69160	2.500E-03
69180	2.540E-03
69200	2.560E-03
69220	2.600E-03
69240	2.640E-03
69260	2.660E-03
69280	2.680E-03
69300	2.720E-03
69320	2.760E-03
69340	2.820E-03
69360	2.840E-03
69380	2.880E-03
69400	2.920E-03
69420	2.960E-03
69440	3.000E-03
69460	3.020E-03
69480	3.060E-03
69500	3.100E-03
69520	3.140E-03
69540	3.200E-03
69560	3.240E-03
69580	3.280E-03
69600	3.320E-03
69620	3.360E-03
69640	3.420E-03
69660	3.460E-03
69680	3.520E-03
69700	3.560E-03
69720	3.620E-03
69740	3.660E-03
69760	3.720E-03
69780	3.760E-03
69800	3.800E-03
69820	3.840E-03
69840	3.900E-03
69860	3.960E-03
69880	4.000E-03
69900	4.040E-03
69920	4.080E-03
69940	4.140E-03
69960	4.180E-03
69980	4.240E-03
70000	4.280E-03
70020	4.340E-03
70040	4.380E-03
70060	4.440E-03
70080	4.500E-03
70100	4.540E-03
70120	4.600E-03
70140	4.660E-03
70160	4.700E-03
70180	4.760E-03
70200	4.800E-03
70220	4.880E-03
70240	4.920E-03
70260	5.000E-03
70280	5.040E-03
70300	5.100E-03
70320	5.160E-03
70340	5.220E-03
70360	5.260E-03
70380	5.340E-03
70400	5.420E-03
70420	5.480E-03
70440	5.540E-03
70460	5.620E-03
70480	5.680E-03
70500	5.760E-03
70520	5.820E-03
70540	5.900E-03
70560	5.980E-03
70580	6.060E-03
70600	6.160E-03
70620	6.240E-03
70640	6.340E-03
70660	6.400E-03
70680	6.480E-03
70700	6.560E-03
70720	6.640E-03
70740	6.720E-03
70760	6.800E-03
70780	6.880E-03
70800	6.940E-03
70820	7.040E-03
70840	7.120E-03
70860	7.200E-03
70880	7.320E-03
70900	7.400E-03
70920	7.520E-03
70940	7.620E-03
70960	7.720E-03
70980	7.820E-03
71000	7.920E-03
71020	8.040E-03
71040	8.160E-03
71060	8.260E-03
71080	8.320E-03
71100	8.480E-03
71120	8.560E-03
71140	8.660E-03
71160	8.760E-03
71180	8.880E-03
71200	8.980E-03
71220	9.100E-03
71240	9.240E-03
71260	9.380E-03
71280	9.540E-03
71300	9.700E-03
71320	9.860E-03
71340	1.002E-02
71360	1.020E-02
71380	1.038E-02
71400	1.058E-02
71420	1.074E-02
71440	1.096E-02
71460	1.112E-02
71480	1.130E-02
71500	1.154E-02
71520	1.172E-02
71540	1.194E-02
71560	1.218E-02
71580	1.238E-02
71600	1.258E-02
71620	1.282E-02
71640	1.310E-02
71660	1.336E-02
71680	1.362E-02
71700	1.390E-02
71720	1.418E-02
71740	1.450E-02
71760	1.478E-02
71780	1.510E-02
71800	1.542E-02
71820	1.574E-02
71840	1.610E-02
71860	1.644E-02
71880	1.684E-02
71900	1.722E-02
71920	1.756E-02
71940	1.794E-02
71960	1.842E-02
71980	1.888E-02
72000	1.930E-02
72020	1.976E-02
72040	2.020E-02
72060	2.080E-02
72080	2.140E-02
72100	2.180E-02
72120	2.240E-02
72140	2.300E-02
72160	2.380E-02
72180	2.440E-02
72200	2.520E-02
72220	2.580E-02
72240	2.680E-02
72260	2.760E-02
72280	2.840E-02
72300	2.940E-02
72320	3.040E-02
72340	3.160E-02
72360	3.260E-02
72380	3.380E-02
72400	3.500E-02
72420	3.640E-02
72440	3.800E-02
72460	3.940E-02
72480	4.120E-02
72500	4.320E-02
72520	4.520E-02
72540	4.760E-02
72560	5.020E-02
72580	5.200E-02
72600	5.400E-02
72620	5.740E-02
72640	6.100E-02
72660	6.520E-02
72680	6.960E-02
72700	7.380E-02
72720	7.760E-02
72740	8.020E-02
72760	8.200E-02
72780	8.500E-02
72800	8.720E-02
72820	8.860E-02
72840	8.900E-02
72860	8.900E-02
72880	8.880E-02
72900	8.800E-02
72920	8.700E-02
72940	8.620E-02
72960	8.500E-02
72980	8.380E-02
73000	8.240E-02
73020	8.100E-02
73040	7.960E-02
73060	7.800E-02
73080	7.660E-02
73100	7.500E-02
73120	7.340E-02
73140	7.200E-02
