freq	SPL
Hz	dB
69178.88563	8.194E+01
69193.54839	8.203E+01
69208.21114	8.203E+01
69222.8739	8.198E+01
69237.53666	8.195E+01
69252.19941	8.194E+01
69266.86217	8.194E+01
69281.52493	8.192E+01
69296.18768	8.186E+01
69310.85044	8.181E+01
69325.5132	8.181E+01
69340.17595	8.191E+01
69354.83871	8.204E+01
69369.50147	8.213E+01
69384.16422	8.211E+01
69398.82698	8.201E+01
69413.48974	8.189E+01
69428.15249	8.177E+01
69442.81525	8.166E+01
69457.47801	8.157E+01
69472.14076	8.151E+01
69486.80352	8.151E+01
69501.46628	8.152E+01
69516.12903	8.150E+01
69530.79179	8.150E+01
69545.45455	8.155E+01
69560.1173	8.165E+01
69574.78006	8.182E+01
69589.44282	8.207E+01
69604.10557	8.232E+01
69618.76833	8.253E+01
69633.43109	8.268E+01
69648.09384	8.281E+01
69662.7566	8.291E+01
69677.41935	8.301E+01
69692.08211	8.310E+01
69706.74487	8.323E+01
69721.40762	8.338E+01
69736.07038	8.349E+01
69750.73314	8.358E+01
69765.39589	8.369E+01
69780.05865	8.379E+01
69794.72141	8.390E+01
69809.38416	8.407E+01
69824.04692	8.426E+01
69838.70968	8.438E+01
69853.37243	8.447E+01
69868.03519	8.459E+01
69882.69795	8.464E+01
69897.3607	8.462E+01
69912.02346	8.458E+01
69926.68622	8.457E+01
69941.34897	8.460E+01
69956.01173	8.465E+01
69970.67449	8.469E+01
69985.33724	8.469E+01
70000	8.467E+01
70014.66276	8.465E+01
70029.32551	8.472E+01
70043.98827	8.488E+01
70058.65103	8.507E+01
70073.31378	8.520E+01
70087.97654	8.524E+01
70102.6393	8.522E+01
70117.30205	8.522E+01
70131.96481	8.531E+01
70146.62757	8.547E+01
70161.29032	8.557E+01
70175.95308	8.558E+01
70190.61584	8.552E+01
70205.27859	8.549E+01
70219.94135	8.556E+01
70234.60411	8.569E+01
70249.26686	8.582E+01
70263.92962	8.588E+01
70278.59238	8.590E+01
70293.25513	8.593E+01
70307.91789	8.600E+01
70322.58065	8.607E+01
70337.2434	8.613E+01
70351.90616	8.615E+01
70366.56891	8.616E+01
